trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-101.02580195067544,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.95}",20,0,-183.85761671004957,"{0: 12, 1: 0, 2: 4, 3: 0, 4: 4}",0
3,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-65.66314375758387,"{0: 14, 1: 0, 2: 4, 3: 2, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-104.04250461934646,"{0: 10, 1: 5, 2: 3, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-88.89333185398904,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,9,-29.032113022979964,"{0: 12, 1: 0, 2: 3, 3: 1, 4: 0}",1
7,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,15,-63.02815947305658,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 2}",1
8,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-66.79409327129416,"{0: 12, 1: 6, 2: 1, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-36.145176791779356,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,7,-37.09481021729881,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 1}",1
11,False,"{'a': 0.5, 'e': 0.4999999999999996}",30,0,-122.21993408067121,"{0: 14, 1: 5, 2: 10, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.4499999999999996}",35,0,-39.71081655226551,"{0: 29, 1: 2, 2: 3, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,11,3.837557451943659,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.34999999999999964}",30,3,-25.678346298619328,"{0: 20, 1: 3, 2: 4, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,22.377767049418026,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,9.168233318809346,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,3,11.335856929698522,"{0: 19, 1: 2, 2: 1, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,13,12.118008754717891,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,-23.87759875902338,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-41.524074342997324,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 1}",1
1,True,"{'a': 0, 'e': 0}",25,16,19.19248796368166,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,6,22.546790370929507,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",25,0,38.98760300900692,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",25,0,39.441914025842706,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",25,17,15.619970262165857,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",25,3,29.606445331992138,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,10,22.561833630761434,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",25,12,-34.02944877454813,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 1}",1
9,True,"{'a': 0, 'e': 0}",20,13,11.630694898240819,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,0,29.925723994232218,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
