trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.65, 'e': 1.0}",20,0,-74.47194313984829,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
2,False,"{'a': 0.6454658879066029, 'e': 0.9999875000260416}",25,7,-57.64832113326372,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 0}",1
3,False,"{'a': 0.6409634037708603, 'e': 0.9999500004166653}",20,0,-63.33738523135187,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
4,False,"{'a': 0.6364923269701487, 'e': 0.9998875021093592}",20,0,-110.70187728319675,"{0: 11, 1: 3, 2: 3, 3: 2, 4: 1}",0
5,False,"{'a': 0.6320524384208105, 'e': 0.9998000066665778}",20,0,-150.3229248205881,"{0: 11, 1: 0, 2: 6, 3: 1, 4: 2}",0
6,False,"{'a': 0.6276435205674182, 'e': 0.9996875162757026}",25,0,-71.06238149708824,"{0: 17, 1: 1, 2: 5, 3: 2, 4: 0}",0
7,False,"{'a': 0.623265357372115, 'e': 0.9995500337489875}",30,0,-85.3014550893055,"{0: 21, 1: 5, 2: 1, 3: 2, 4: 1}",1
8,False,"{'a': 0.6189177343040282, 'e': 0.9993875625234886}",30,0,-119.9576360907194,"{0: 18, 1: 6, 2: 3, 3: 2, 4: 1}",0
9,False,"{'a': 0.6146004383287577, 'e': 0.9992001066609779}",20,0,-103.19666031943744,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
10,False,"{'a': 0.6103132578979367, 'e': 0.9989876708478425}",20,0,-91.95673363809829,"{0: 14, 1: 3, 2: 0, 3: 1, 4: 2}",0
11,False,"{'a': 0.6060559829388664, 'e': 0.9987502603949663}",20,0,-105.81636751354131,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
12,False,"{'a': 0.601828404844222, 'e': 0.9984878812375985}",25,0,-66.64783305392169,"{0: 16, 1: 3, 2: 5, 3: 1, 4: 0}",0
13,False,"{'a': 0.5976303164618311, 'e': 0.9982005399352042}",30,0,-131.54118736940183,"{0: 19, 1: 1, 2: 7, 3: 2, 4: 1}",0
14,False,"{'a': 0.5934615120845228, 'e': 0.9978882436713011}",35,0,-210.1157348780133,"{0: 20, 1: 2, 2: 8, 3: 3, 4: 2}",0
15,False,"{'a': 0.5893217874400486, 'e': 0.9975510002532796}",25,0,-174.83486887360522,"{0: 14, 1: 1, 2: 7, 3: 0, 4: 3}",0
16,False,"{'a': 0.5852109396810726, 'e': 0.9971888181122075}",30,0,-222.89920487757553,"{0: 15, 1: 5, 2: 4, 3: 3, 4: 3}",0
17,False,"{'a': 0.5811287673752322, 'e': 0.9968017063026194}",20,0,-202.64162640119957,"{0: 10, 1: 1, 2: 3, 3: 3, 4: 3}",0
18,False,"{'a': 0.5770750704952676, 'e': 0.9963896745022904}",20,0,-127.96240766292948,"{0: 13, 1: 3, 2: 1, 3: 0, 4: 3}",0
19,False,"{'a': 0.5730496504092205, 'e': 0.9959527330119943}",30,16,-136.76162332950548,"{0: 6, 1: 0, 2: 5, 3: 1, 4: 2}",1
20,False,"{'a': 0.5690523098707012, 'e': 0.9954908927552453}",20,0,-61.10010841745081,"{0: 11, 1: 2, 2: 7, 3: 0, 4: 0}",0
21,False,"{'a': 0.5650828530092238, 'e': 0.9950041652780258}",20,0,-43.05759570084157,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
22,False,"{'a': 0.5611410853206077, 'e': 0.9944925627484974}",35,0,-150.6174333516842,"{0: 19, 1: 2, 2: 12, 3: 2, 4: 0}",0
23,False,"{'a': 0.5572268136574474, 'e': 0.9939560979566968}",30,0,-279.50350957009664,"{0: 17, 1: 2, 2: 3, 3: 3, 4: 5}",0
24,False,"{'a': 0.5533398462196483, 'e': 0.9933947843142158}",25,0,-184.1031446417746,"{0: 13, 1: 6, 2: 1, 3: 2, 4: 3}",0
25,False,"{'a': 0.5494799925450282, 'e': 0.9928086358538663}",20,0,-144.96969937677628,"{0: 12, 1: 0, 2: 4, 3: 2, 4: 2}",0
26,False,"{'a': 0.5456470634999848, 'e': 0.992197667229329}",25,0,-174.17993155560612,"{0: 15, 1: 1, 2: 4, 3: 3, 4: 2}",0
27,False,"{'a': 0.541840871270228, 'e': 0.9915618937147881}",20,0,-123.40302567226126,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 3}",0
28,False,"{'a': 0.5380612293515769, 'e': 0.9909013312045479}",25,0,-140.05221822545255,"{0: 14, 1: 4, 2: 4, 3: 1, 4: 2}",0
29,False,"{'a': 0.5343079525408213, 'e': 0.9902159962126371}",20,0,-104.63249037710875,"{0: 12, 1: 4, 2: 2, 3: 0, 4: 2}",0
30,False,"{'a': 0.5305808569266465, 'e': 0.9895059058723947}",20,14,-9.968958656059003,"{0: 4, 1: 1, 2: 1, 3: 0, 4: 0}",1
31,False,"{'a': 0.5268797598806216, 'e': 0.9887710779360422}",20,5,-25.070809068450927,"{0: 11, 1: 0, 2: 4, 3: 0, 4: 0}",1
32,False,"{'a': 0.523204480048251, 'e': 0.9880115307742399}",25,0,-181.83286086557712,"{0: 13, 1: 1, 2: 7, 3: 2, 4: 2}",0
33,False,"{'a': 0.5195548373400873, 'e': 0.9872272833756269}",20,0,-110.43474781533696,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
34,False,"{'a': 0.5159306529229077, 'e': 0.9864183553463477}",30,11,-120.02120779445362,"{0: 10, 1: 1, 2: 5, 3: 2, 4: 1}",1
35,False,"{'a': 0.5123317492109508, 'e': 0.9855847669095608}",20,0,-14.93292729615545,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
36,False,"{'a': 0.5087579498572143, 'e': 0.9847265389049334}",30,0,-187.15301661612148,"{0: 16, 1: 2, 2: 8, 3: 2, 4: 2}",0
37,False,"{'a': 0.505209079744815, 'e': 0.9838436927881214}",30,0,-112.65456551174762,"{0: 18, 1: 4, 2: 5, 3: 3, 4: 0}",0
38,False,"{'a': 0.5016849649784072, 'e': 0.9829362506302315}",25,0,-192.83609296298965,"{0: 14, 1: 0, 2: 7, 3: 1, 4: 3}",0
39,False,"{'a': 0.49818543287566247, 'e': 0.9820042351172703}",25,0,-117.62353488433833,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
