trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-90.28327472716713,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-168.85713145473363,"{0: 12, 1: 0, 2: 4, 3: 1, 4: 3}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-142.9849708457629,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 3}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-78.24721779431559,"{0: 14, 1: 4, 2: 7, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,6,-98.28713130160378,"{0: 8, 1: 2, 2: 2, 3: 0, 4: 2}",1
6,False,"{'a': 0.5, 'e': 1.0}",30,0,-102.53875364613499,"{0: 19, 1: 3, 2: 6, 3: 2, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-97.21898398769135,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-210.59210426516202,"{0: 13, 1: 1, 2: 6, 3: 2, 4: 3}",0
9,False,"{'a': 0.5, 'e': 1.0}",30,0,-197.89776725082834,"{0: 17, 1: 4, 2: 4, 3: 2, 4: 3}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,13,-44.167529773926894,"{0: 6, 1: 1, 2: 5, 3: 0, 4: 0}",1
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-133.88090057131944,"{0: 7, 1: 1, 2: 10, 3: 2, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-118.9046360980392,"{0: 11, 1: 1, 2: 5, 3: 2, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-69.80502496029236,"{0: 16, 1: 3, 2: 5, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-102.85406447625984,"{0: 11, 1: 1, 2: 5, 3: 3, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-113.43419970281091,"{0: 11, 1: 3, 2: 3, 3: 2, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-109.61323827091556,"{0: 11, 1: 3, 2: 3, 3: 2, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,4,-112.8218625479186,"{0: 10, 1: 1, 2: 2, 3: 1, 4: 2}",1
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-52.38683208953125,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-45.29640943732057,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
20,False,"{'a': 0.5, 'e': 1.0}",30,0,-163.62679946158303,"{0: 16, 1: 5, 2: 7, 3: 0, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-53.88506292360411,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-29.57652641446815,"{0: 14, 1: 4, 2: 1, 3: 1, 4: 0}",1
3,True,"{'a': 0.5, 'e': 1.0}",30,0,-135.66309853499325,"{0: 18, 1: 5, 2: 3, 3: 3, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-155.56182766500748,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 3}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-132.90302961566903,"{0: 12, 1: 3, 2: 1, 3: 2, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-73.18670747751068,"{0: 11, 1: 0, 2: 9, 3: 0, 4: 0}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-149.59430457727254,"{0: 15, 1: 3, 2: 3, 3: 2, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-218.56280416445026,"{0: 13, 1: 2, 2: 6, 3: 0, 4: 4}",0
9,True,"{'a': 0.5, 'e': 1.0}",30,0,-217.74101223060686,"{0: 16, 1: 2, 2: 8, 3: 1, 4: 3}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-28.508345887783694,"{0: 18, 1: 4, 2: 3, 3: 0, 4: 0}",0
